Sıra No,Arapça,Ravi,Meal,Kaynak
412,,,"Ai şe (Allah Ondan raz ı olsun) Rasulullah (salla llahu aleyhi vesellem)’i  şöyle buyururken i şittim demi ştir. “ İnsanlar k ıyamet günü yal ınayak ç ıplak ve  sünnetsiz olarak Allah’ ın huzurunda toplan ırlar.” Dedim ki Ey Allah’ ın Rasulü,  kadınlar ve erkekler hepsi birlikte olunca birbirlerine bakmazlar mı?   -Ya Ai şe, i ş ve durum bunu hat ıra getiremeyecek kadar şiddetlidir”,  buyurdular.   * Bir ba şka rivayette “Durum birb irlerine bakamayacakları kadar şiddetlidir”,  buyurdu. (Buhari, Rikak 65, Müslim, Cennet 56)","Buhari, Rikak 65, Müslim, Cennet 56"
413,"BÖLÜM: 51   ALLAH’IN RAHMETİNİ ÜMİD ETMEK   W            K   “De ki, Allah şöyle buyuruyor: “Ey nefislerine uyup ta s ınırlarımı a şan  kullarım! Allah’ın rahmetinden umudunuzu ke smeyin. Allah bütün günahlar ınızı  bağışlar, şüphesiz ki o çok bağışlayan ve çok acıyandır.” (39 Zümer 53)  W “(Allah’tan gelene gerçekleri örtbas etmelerinden dolay ı o kafirleri)nankör  ettikleri için onlar ı böylece cezaland ırdık. Biz (bizden gelen gerçekleri örtbas  edenlerden)nankörden başkasını hiç cezalandırır mıyız?” (34 Sebe 17)  W           “Bize vahyedilerek bildirildi ki: Allah’ ın azab ı peygamberleri yalan say ıp  onlara sırt çevirenlere erişir.” (20 taha 48)  W             “Allah: “Benim rahmetim her şeyi kuşatmıştır” buyurur.” (7 Araf 156)  J                                  K K",Ubade ibni’s Samit (Allah Ondan raz ı olsun),"Ubade ibni’s Samit (Allah Ondan raz ı olsun)'dan bildirildi ğine göre  Rasulullah (sallallahu aleyhi vesellem) şöyle buyurdu:   “Kim Allah’tan başka gerçek ilah yoktur, yaln ızca Allah vard ır, ortağı yoktur,  Muhammed Allah’ın kulu ve Rasulüdür. İsa da Allah’ın kulu ve elçisi, Meryem’e  bıraktığı kelimesi ve Allah taraf ından verilen bir ruh oldu ğunu, cennetin ve  cehennemin hak oldu ğunu hakt ır ve gerçektir diyerek şehadet ederse hangi amel  üzerinde olursa olsun All ah mutlaka onu cennete koyar.” (Buhari, Enbiya 47,  Müslim, İman 46)  * Müslim’in başka bir rivayetinde, “Allah’tan başka ilah yoktur ve Muhammed  Allah’ın Rasulüdür diye şehadet eden kimseye Allah cehennemi haram k ılar.”  (Müslim, İman 47)","Müslim, İman 47"
414,J           W                      K                         K,Ebu Zer (Allah Ondan raz ı olsun),"Ebu Zer (Allah Ondan raz ı olsun)'dan rivayet edildi ğine göre Rasulullah  (sallallahu aleyhi vesellem), Allah’ ın şöyle buyurduğunu haber vermi ştir: “Kim bir  hayır ve iyilik işlerse ona on kat sevap vardır veya daha da artırırım. Kim bir kötülük  ve günah i şlerse onun da kar şılığı kendisi kadard ır artmaz ya da tamamen  bağışlarım. Kim bana bir kar ış yakla şırsa ben ona bir ar şın yakla şırım. Bir ar şın  yaklaşana ben bir kulaç yakla şırım. Bana yürüyerek gelene ben ko şarak gelirim. Kim  bana hiçbir şeyi ortak ko şmamak şartıyla yeryüzünü dolduracak kadar günahla  huzuruma gelirse, ben de onun günahlar ı kadar ba ğışlama ile kar şılarım.” (Müslim,  Zikir 22)","Müslim,  Zikir 22"
415,J        :   :                א K,,"Cabir ibni Abdullah (Allah Ondan raz ı olsun) şöyle demiştir: Peygamber  (sallallahu aleyhi vesellem)’e bir bedevi geldi ve: Ey Allah’ ın Rasulü cennete veya  cehenneme girmeyi gerektiren haller nelerd ir? diye sordu. Rasulullah (sallallahu  aleyhi vesellem)’de:  “Allah’a ortak ko şmadan ölen cennete girer, Allah’a ortak ko şarak ölen de  cehennemi boylar”, buyurdular. (Müslim, İman 151)","Müslim, İman 151"
416,J      J    :    :  :       :    :          :    :    K                     K,Enes (Allah Ondan raz ı olsun),"Enes (Allah Ondan raz ı olsun)'dan bildirildi ğine göre Rasulullah  (sallallahu aleyhi vesellem) devesine bindirdi ği Muaz’a bir yolculukta üç sefer: Ya  Muaz diye seslendi. O da her defas ında: Buyur emret ey Allah’ın Rasulü! diye cevap  vermişti. Bunun üzerine Rasulullah (sallallahu aleyhi vesellem):   “ Kim Allah’tan başka gerçek ilah olmadığına ve Muhammed (sallallahu aleyhi  vesellem)’in Allah’ın kulu ve peygamberi oldu ğuna samimi olarak şehadet ederse  Allah ona cehennemi haram eder”, buyurmuştur. Muaz:  -Bu müjdeyi müslümanlara haber vere yim de sevinsinler mi? Ey Allah’ ın  Rasulü! diye izin istemiş. Peygamber (sallallahu aleyhi vesellem)’de   -Belki onlar buna güvenirler ve yararl ı i şler yapmaz olurlar, buyurmu ştur.  Muaz böyle bir bilgiyi gizlemi ş olmak günah ından kurtulmak için ölürken haber  vermiştir. (Buhari, İlim 49, Müslim, İman 53)","Buhari, İlim 49, Müslim, İman 53"
417,W        W             E                                       E,Ebu Hüreyre yahut Ebu Said  el Hudrî (Allah Onlardan raz ı olsun),"Ebu Hüreyre yahut Ebu Said  el Hudrî (Allah Onlardan raz ı olsun)’den  rivayet olunmu ştur. Tebük gazvesinde halk şiddetli açl ıkla kar şı kar şıya  kaldıklarında: Sahabeler, Ey Allah’ ın Rasulü! İzin verseniz de develerimizi kesip  yesek ve iç yağı elde etsek, dediler. Peygamberimiz: “Olur öyle yap ın”, dedi. Derken  Ömer (Allah Ondan raz ı olsun) geldi ve: Ey Allah’ ın Rasulü! Develeri kesmelerine  izin verirsen orduda binek azal ır. Fakat ellerindeki az ıkları getirmelerini ve onlar  üzerine bereketlenmesi için dua etseniz d aha uygun olur ve Allah ta böylece bereket  ihsan eder. Bunun üzerine Rasulullah (sa llallahu aleyhi vesellem): “Peki öyle  yapalım”, buyurdular. Deriden bir sergi se rilerek herkeste mevcut olan erzak ın  getirilmesini emretti.   Askerlerden kimi bir avuç dar ı kimisi bir avuç hurma kimi de ekmek parçalar ı  getirdi. Sergi üzerinde gerçekten pek az bir şey topland ı. Rasulullah (sallallahu  aleyhi vesellem) bereket vermesi için Allah’a dua etti ve sonra: “Buradan al ıp  kaplarınızı doldurunuz”, buyurdu. tüm askerler kaplar ını doldurdular,  doldurulmadık bir kap bırakmadılar sonra da doyuncaya kadar yediler yine de artt ı.  Sonra Rasulullah (sallallahu aleyhi vesellem) şöyle buyurdu: “Allah’tan başka gerçek  ilah olmad ığına ve benim Allah’ ın Rasulü oldu ğuma şehadet ederim ki Allah’ ın  birliğine ve Muhammed’in peygamberli ğine şüphesiz inanm ış olarak Allah’a  kavuşmayan kimse cennete girmekten mutlaka alıkonulur.” (Müslim, İman 45)","Müslim, İman 45"
418, W                                                                                  W            >              >           EK,,"Bedir gazas ına kat ılan sahabilerden İtban ibni Malik (Allah Ondan raz ı  olsun) şöyle demi ştir: Ben kavmim Beni Salime namaz k ıldırırdım. Benim evimle  onlar arasında bir vadi bulunuyordu. Ya ğmur yağdığı zaman mescide gitmek benim  için zorla şıyordu. Bu yüzden Rasulullah (sallall ahu aleyhi vesellem)’e geldim ve  şöyle dedim:  -Ey Allah’ ın Rasulü gözlerim zay ıfladı. Ya ğmurlar ya ğınca dere sularla  doluyor ve mescid taraf ına geçmem zor oluyor. Bundan dolay ı evime te şrif edip bir  tarafında namaz k ılsanız da ben de oray ı namazgah edinsem, dedim. Rasulullah ta  bunu inşaallah yaparım, buyurdu.  Ertesi sabah güne şin yükseldi ği bir vakitte Ebubekir ile birlikte Rasulullah  (sallallahu aleyhi vesellem) bana geldi, iz in istedi, izin verdim içeri girdi daha  oturmadan: “Evinin neresinde namaz k ılmamı istersin”, buyurdu. Namaz k ılmasını  istediğim yeri gösterdim. Rasulullah (sallall ahu aleyhi vesellem) orada tekbir al ıp  namaza durdu. Biz de arkas ında saf olup iki rekat namaz k ıldırıp selam verdi biz de  selam verdik. Rasulullah (sallallahu aleyhi vesellem) için haz ırlanmış iç ya ğı ile  pişirilen un çorbas ını (hazire) yemesi için al ıkoyduk. Mahalle halk ı peygamberin  bizim eve geldiğini haber almalarıyla evde epeyce insan toplanmıştı. İçlerinden biri:  -Malik ibni Duhşum ne yaptı? Onu göremiyorum diye sordu. Bir ba şkası da: O  Allah ve Rasulünü sevmeyen bir münaf ıktır, dedi. Bunu duyan Rasulullah  (sallallahu aleyhi vesellem) o kimseye: “Böyle deme, görmüyor musun o Allah’ ın  rızasını dileyerek Lâ ilâhe illallah diyor”, buyurdu. O adam:   -Allah ve Rasulü daha iyi bilir fakat ben Allah’a yemin olsun ki Malik’in  münafıkları sevdiğini ve onlarla konuştuğunu görüyoruz, dedi.  Rasulullah’da bunun üzerine şöyle buyurdu: “Allah’ın r ızasını gözeterek Lâ  ilâhe illallah diyen kimseye Allah cehennemi haram k ılmıştır.” (Buhari, Salat 45,  Müslim, İman 54)","Buhari, Salat 45,  Müslim, İman 54"
419,    :                 :                   ,,"Ömer ibn-ül Hattab (Allah Ondan raz ı olsun) şöyle demi ştir: Bir gün  Rasulullah (sallallahu aleyhi vesellem) esirler aras ında çocuğundan ayrılan bir kadın  gördü. Kad ın çocu ğuna hasretinden dolay ı rast geldi ği her çocu ğu kuca ğına al ıyor  ve emziriyordu. Rasulullah (sallallahu aleyhi vesellem) çevresindekilere:  -Hiç bu kadın çocuğunu ateşe atar mı? diye sordu. Onlar:  -Asla atmaz, cevab ını verdiler. Bunun üzerine Ra sulullah (sallallahu aleyhi  vesellem):  -O halde biliniz ki Allah’ ın kullar ına merhamet ve ac ıması bu kad ının  çocuğuna merhametinden çok daha fazladır, buyurdu. (Buhari, Edeb 18)  J         W       K  W        W       K",
420,,Ebu Hüreyre (Allah Ondan raz ı olsun),"Ebu Hüreyre (Allah Ondan raz ı olsun)'dan rivayet edildi ğine göre  Rasulullah (sallallahu aleyhi vesellem) şöyle buyurdu: “Allah tüm varlıkları yarattığı  zaman ar şın üstünde bulunan kendi kat ındaki bir kitaba RAHMEt İM GAZABIMA  GALİP GELİR diye yazmıştır.” (Buhari, Bed’ül Halk 1)  * Bir de ğişik rivayette: “Rahmetim gazab ıma galip oldu, üstün geldi”  şeklindedir. (Buhari, Bed’ül Halk 4)  * Ba şka bir rivayette: “Rahmetim gazab ımı geçmi ştir” şeklindedir. (Buhari,  tevhid 15, Müslim, tevbe 14)","Buhari,  tevhid 15, Müslim, tevbe 14"
421,J        :     :،                    K    K      W    K                ، K,Yine Ebu Hüreyre (Allah Ondan raz ı olsun),"Yine Ebu Hüreyre (Allah Ondan raz ı olsun)'dan rivayet edildi ğine göre  Rasulullah (sallallahu aleyhi vesellem) şöyle buyururken dinledim demi ştir: “Allah  rahmetini yüz parçaya ay ırmıştır. Doksan dokuz parças ını kendi kat ında alıkoymuş  birini yeryüzüne indirmiştir. İşte yeryüzünde varlıklar bu bir parça rahmet sebebiyle  birbirlerine acır ve şefkatli davranırlar. Hatta hayvanlar bile  bu merhamet yüzünden  yavrusunu ezmemek için ayağını kaldırır.” (Müslim, tevbe 17)  * Bir ba şka rivayette şöyle buyurulur: “Allah’ ın yüz rahmeti vard ır. Birini  cinlerin, insanlar ın ve hayvanlar ın ve böceklerin aras ına indirmi ştir. Onlar bu bir  dilim rahmet sebebiyle birbirle rini sever ve birbirlerine ac ırlar. Vah şi hayvanlar bu  sebeble yavrusuna şefkat gösterir. Rahmetinin doksan dokuz parças ını da ahirette  kullarına rahmet etmek için kıyamete bırakmıştır.” (Müslim, tevbe 19)  * Yine Müslim’in Selmani Farisi’d en rivayetine göre Rasulullah şöyle  buyurmuştur: “Allah’ın yüz rahmeti vard ır. Bu rahmetten bir tanesi sebebiyle  varlıklar birbirlerine şefkat ve merhamet gösterirler. Di ğer doksan dokuzu ise  kıyamet günü için bekletilmektedir.”  * Yine Müslim’in ba şka rivayetinde Rasulullah (s allallahu aleyhi vesellem)  şöyle buyurmuştur: “Allah yerleri ve gökleri yarattığı gün yüz rahmet de yaratmıştır.  Her bir rahmet göklerle yer aras ını dolduracak büyüklüktedir. Bunlardan sadece  birini yeryüzüne indirmi ştir. İşte anne yavrusuna bu yüzden şefkat gösterir. Vah şi  hayvanlar ve ku şlar da bundan dolay ı birbirlerine merhamet ederler. K ıyamet günü  olunca Allah doksan dokuzu bu bir rahmetle yüze tamamlar ve kulları için kullanır.”  (Müslim, tevbe 21)","Müslim, tevbe 21"
422,                        K           K                                                 K          K           W        K,Yine Ebu Hüreyre (Allah Ondan raz ı olsun),"Yine Ebu Hüreyre (Allah Ondan raz ı olsun)'dan rivayet edildi ğine göre  Rasulullah (sallallahu aleyhi vesellem), Allah’tan naklederek şöyle buyurmu ştur:  “Kul bir günah işledi de Allah’ım benim günahımı bağışla dedi mi Allah “kulum bir  günah i şledi ve günah ını ba ğışlayacak ve bu yüzden kendisini sorgulayacak bir  Rabbi oldu ğunu bildi”, der. Sonra kul tekrar günah i şledi de Rabbim günah ımı  bağışla dedi mi Allah: “Kulum bir günah i şledi ve günah ını ba ğışlayacak ve bu  yüzden kendisini sorgulay ıp azap edecek bir Rabbi oldu ğunu bildi”, der. Sonra kul  tekrar günah i şleyip de günah ımı ba ğışla dedi mi Allah: “kulum bir günah i şledi,  günahları affeden ve günah ı ile sorguya çeken bir Rabbi oldu ğunu bildi. Muhakkak  ben bu kulumu ba ğışladım. O halde böyle diledi ği kadar yaps ın”, buyurur. (Buhari,  tevhid 35, Müslim, tevbe 29)","Buhari,  tevhid 35, Müslim, tevbe 29"
423,             K,Yine Ebu Hüreyre (Allah Ondan raz ı olsun),"Yine Ebu Hüreyre (Allah Ondan raz ı olsun)'dan rivayet edildi ğine göre  Rasulullah (sallallahu aleyhi vesellem) şöyle buyurdu: “Can ım  elinde olan Allah’a  yemin olsun ki siz hiç günah işlememiş olsaydınız Allah sizi yok eder yerinize günah  işleyip Allah’tan ba ğışlanma dileyecek bir toplum getirir de onlar ı ba ğışlardı.”  (Müslim, tevbe 11)","Müslim, tevbe 11"
424,                        K,,"Ebu Eyyub Halid ibni Zeyd (Allah Ondan raz ı olsun) Ben Rasulullah  (sallallahu aleyhi vesellem)’i şöyle buyururken dinledim demi ştir: “Eğer siz günah  işlemeseydiniz, Allah günah i şleyen bir toplum yarat ır, onlar günahlar ından dolayı  bağışlanma dilerler de Allah onları bağışlardı.” (Müslim, tevbe 10)","Müslim, tevbe 10"
425,                                              KE,,"Yine Ebu Hüreyre (Allah Ondan raz ı olsun) şöyle demi ştir: Aram ızda  Ebubekir, Ömer ve birkaç ki şi bulundu ğu halde Rasulullah (sallallahu aleyhi  vesellem)’le beraber oturuyorduk. Rasulu llah (sallallahu aleyhi vesellem) kalk ıp  aramızdan ayr ıldı. Gecikince bir şey olur endi şesiyle tela şa düştük. Telaşlananların  ilki bendim. Kalk ıp onu aramaya ba şladım. Nihayet ensardan birinin bahçesine  geldim. Hadisi uzunca anlatan Ebu Hüreyre sonucu şöyle bağladı. Rasulullah bana  şöyle dedi: “Git bu bahçenin d ışında Allah’tan ba şka gerçek kalbiyle samimi bir  biçimde şehadet getiren kime rastlarsan onu cennetle müjdele.” (Müslim, İman 52)","Müslim, İman 52"
426,      W           KKK    W א        :                  :       W                  K,Abdullah ibni Amr ibn-il Âs (Allah Onlardan raz ı olsun),"Abdullah ibni Amr ibn-il Âs (Allah Onlardan raz ı olsun)’den aktarıldığına  göre Rasulullah (sallallahu  aleyhi vesellem), Allah’ın İbrahim (a.s.) hakk ındaki: “Ey  Rabbim bu tap ınılan nesneler gerçekten insanlardan pek ço ğunu yoldan ç ıkardı  onun için her kim bana uyar ve bana kat ılırsa o bendendir. Bana ba ş kald ırana  gelince şüphesiz sen çok ac ıyan ve gerçek ba ğışlayansın.” (14 İbrahim 36) ayetini  okudu ve İsa (a.s.)’ın:  “Şayet onları azaba çarptırırsan şüphesiz onlar senin kullar ındır ve eğer onları  bağışlarsan do ğrusu sen çok güçlü ve üstün olans ın yapt ığın şeyleri yerince  yapansın.” (5 Maide 118) ayetini okudu ellerini kald ırarak Allah’ım ümmetim!  ümmetim! diye dua etti ve a ğladı. Bunun üzerine Allah: Ey Cebrail –Rabbin her şeyi  daha iyi bilir ya- git Muhammed’e niçin a ğladığını sor, buyurdu. Cebrail gelerek  sordu, o da ümmeti için duydu ğu endişeden dolayı ağladığını söyledi, -zaten Allah  herşeyi en iyi bilendir- Cebrail’in dönüp hab er vermesi üzerine Allah: -Ey Cebrail,  Muhammed’e git ve ona şu sözümü ilet, buyurdu:  “Ümmetin konusunda seni razı edeceğiz ve üzmeyeceğiz.” (Müslim, İman 346)","Müslim, İman 346"
427,                           K,,"Muaz İbn-i Cebel (Allah Ondan razı olsun) şöyle demiştir:   Bir gün merkep üzerinde Rasulullah’ ın arkas ında bulunuyordum. Bana şöyle  dedi: “Ya Muaz Allah’ın kullar üzerinde ve Kullar ın da Allah üzerindeki ne hakk ı  vardır bilir misin?” buyurdu. Beni Allah ve Resulü daha iyi bilir deyince; Rasulullah  (sallallahu aleyhi vesellem):  “Allah’ın kullar ı üzerindeki hakk ı, onlar ın sadece Allaha kulluk etmeleri ve  hiçbir şeyi ona ortak koşmamalarıdır.   Kulların da Allah üzerindeki hakk ı, kendisine hiçbir şeyi ortak tutmayanlara  azap etmemesidir” buyurdu. Ben hemen  -Ey Allahın Resûlü bunu insanlara müjdeleyeyim mi? Dedim.  -Müjdeleme onlar buna güvenirler de kullu ğu ihmal ederler buyurdu. (Buhari,  Cihad 46, Müslim, İman 48)","Buhari,  Cihad 46, Müslim, İman 48"
428,          W א,Berâ ibni Âzib (Allah Onlardan raz ı olsun),"Berâ ibni Âzib (Allah Onlardan raz ı olsun)'dan rivayet edildi ğine göre  Rasulullah (sallallahu aleyhi vesellem) şöyle buyurdu: “Müslüman kabirde sorguya  çekildiği zaman Allah’tan ba şka ilah olmad ığına Muhammed (sallallahu aleyhi  vesellem)’in Allah’ın Rasulü oldu ğuna şehadet eder. İşte bu şehadet Kur’an- ı  Kerimdeki “Allah; sa ğlam sözle iman edenleri dünya hayat ında da ahirette de  sapasağlam ve dosdoğru kelime-i tevhid sözüyle sağlamlaştırır. Zalimleri ise sapıklık  içinde b ırakır. Ve Allah diledi ğini yapar.” (14 İbrahim 27) ayetinin delalet etti ği  manadır.” (Buhari, Cenaiz 87, Müslim, Cennet 73)","Buhari, Cenaiz 87, Müslim, Cennet 73"
429,J                              K  :                        K,Enes (Allah Ondan raz ı olsun),"Enes (Allah Ondan raz ı olsun)'dan aktar ıldığına göre Rasulullah  (sallallahu aleyhi vesellem) şöyle buyurdu: “Kafir bu dünyada bir iyilik yapt ığı  zaman onun kar şılığında bu dünyada nimetlerden ye dirilir. Mü’mine gelince Allah  onun iyiliklerinin sevab ını ahiret için biriktirir, yapt ığı kulluğa göre de bu dünyada  ona rızık verir.” (Müslim, Münafikin 57)  * Diğer bir rivayette şöyle buyurulmuştur: “Şüphesiz ki Allah hiçbir mü’minin  işlediği iyiliği karşılıksız bırakmaz. Mü’min yaptığı iyilik sebebiyle hem bu dünyada  hem de ahirette mükafatland ırılır. Kafire gelince dünyada yapt ığı iyilikler  karşılığında kendisine r ızık verilir. Ahirete vard ığında kendisine verilecek bir  mükafat olmaz.” (Müslim, Münafikin 56)","Müslim, Münafikin 56"
430,J                     K,Cabir (Allah Ondan raz ı olsun),"Cabir (Allah Ondan raz ı olsun)'dan rivayet edildi ğine göre Rasulullah  (sallallahu aleyhi vesellem) şöyle buyurdu: “Be ş vakit namaz ın benzeri, sizden  birinizin kapısı önünde akmakta olan ve her gün be ş kere içine girip y ıkandığı suyu  bol ırmak gibidir.” (Müslim, Mesacid 284)","Müslim, Mesacid 284"
431,     :                                                         K,,"İbni Abbas (Allah Onlardan raz ı olsun), Rasulullah (sallallahu aleyhi  vesellem)’i şöyle derken i şittim demi ştir: “Hangi müslüman ın cenazesinde Allah’a  şirk koşmamış kırk kişi haz ır bulunur, cenaze namaz ını kılarsa Allah onlar ın o ölü  hakkındaki şefaatlerini mutlaka kabul eder.” (Müslim, Cenaiz 59)","Müslim, Cenaiz 59"
432,              א               K,,"İbni Mes’ud (Allah Ondan raz ı olsun) şöyle demi ştir: Bir defas ında k ırk  kadar kişi Rasulullah (sallallahu aleyhi vesellem)’le birlikte bir çadır içerisindeydik.  Peygamber (sallallahu aleyhi vesellem) bize : “Cennetliklerin dörtte biri olmaya raz ı  mısınız?” diye sordu. –Evet, dedik. Peygamber (sallallahu aleyhi vesellem) bu sefer:  “Cennetliklerin üçte biri olmaya raz ı m ısınız?” diye sordu. Biz yine evet, dedik.  Bunun üzerine Rasulullah (sallallahu aleyhi vesellem): “Muhammed’in canı  elinde  olan Allah’a yemin ederim ki ben sizin cennetliklerin yar ısı olaca ğınızı umar ım.  Çünkü cennete müslüman olmayan kimse giremez. Halbuki siz di ğer müşrik millet  ve toplumlara nispetle siyah öküzün derisindeki beyaz k ıl veya beyaz öküzün  üzerindeki siyah beneğe benzersiniz.” (Buhari, Rikak 45, Müslim, İman 377)","Buhari, Rikak 45, Müslim, İman 377"
433, :    K א         K ,Ebu Musa el-E ş’arî (Allah Ondan raz ı olsun),"Ebu Musa el-E ş’arî (Allah Ondan raz ı olsun)'dan rivayet edildi ğine göre  Rasulullah (sallallahu aleyhi vesellem) şöyle buyurdu: “K ıyamet günü Allah her  müslümana bir yahudi veya h ıristiyan verilir ve bu senin yerine cehenneme at ılacak  senin ateşten kurtuluş fidyen olacaktır.” (Müslim, tevbe 49)  * Müslim’in değişik bir rivayetinde: “K ıyamet günü baz ı müslümanlar da ğlar  kadar günahlarla gelir, Allah’ta onları affeder”, buyurdu. (Müslim, tevbe 51)","Müslim, tevbe 51"
434,:             W                     K,,"İbni Ömer (Allah Onlardan raz ı olsun), ben Rasulull ah (sallallahu aleyhi  vesellem)’i şöyle buyururken i şittim demi ştir: “K ıyamet günü mü’min Allah’a o  kadar yaklaşır ki, Allah onu tüm insanlardan rahmetiyle gizler de günahlar ını ikrar  ettirir ve şöyle buyurur. Filan günah ını hat ırlıyor musun, falan günah ını biliyor  musun? Kul da: Biliyorum ya Rabbi, der.  Bunun üzerine All ah: “Ben bu günahlar ını  dünyada örtüp gizlemi ştim bu günde hepsini ba ğışlıyorum” buyurur ve o kimseye  iyiliklerinin kaydedildiği defter eline verilir.” (Buhari, Mezalim 3, Müslim, tevbe 52)","Buhari, Mezalim 3, Müslim, tevbe 52"
435,  W א W        K,,"İbni Mes’ud (Allah Ondan razı olsun) şöyle demiştir:  bir adam bir kad ını  öpmüş,  Rasulullah (sallallahu aleyhi vesellem)’e gelerek olayı anlattı. Bunun üzerine  Allah: “Gündüzün ba şında ve sonunda bir de gecenin erken saatlerinde namaz  kılmaya devamlı ve duyarlı ol. Çünkü iyilikler kötülüklerini giderir. Allah ı hatırında  tutanlar için bir hatırlatmadır bu...” (11 Hud 114) ayetini indirdi. O kimse Ey Allah’ın  Rasulü bu hüküm bana m ı aittir? Dedi. Rasulullah (sa llallahu aleyhi vesellem)’de:  “Bütün ümmetime aittir”, buyurdu. (Buhari, Mevakit 4, Müslim, tevbe 39)","Buhari, Mevakit 4, Müslim, tevbe 39"
436,J  W    W  KW   K,,"Enes (Allah Ondan raz ı olsun) şöyle demi ştir: Bir adam Peygamber  (sallallahu aleyhi vesellem)’e geldi ve Ey Allah’ın Rasulü ben cezay ı gerektiren bir iş  işledim, beni cezaland ır, dedi. Vakit namaz vaktiydi. O şahıs Rasulullah ile birlikte  namaz k ıldıktan sonra yine: Ey Allah’ ın Rasulü cezaland ırılması gereken bir i ş  yaptım, beni cezaland ır, dedi. Peygamber (sallallahu aleyhi vesellem): “Sen bizimle  birlikte şimdi namaz k ılmadın m ı?” buyurdu. Adam evet deyince, Rasulullah  (sallallahu aleyhi vesellem) : “Öyleyse affedildin” buyurdu. (Buhari, Hudud 27,  Müslim, tevbe 44)","Buhari, Hudud 27,  Müslim, tevbe 44"
437,       K,Enes (Allah Ondan raz ı olsun),"Enes (Allah Ondan raz ı olsun)'dan rivayet edildi ğine göre Rasulullah  (sallallahu aleyhi vesellem) şöyle buyurdu: “Allah kulunun bir şey yedikten sonra  hamdetmesinden yine bir şey içtikten sonra hamdetmesinden raz ı olur.” (Müslim,  Zikir 89)","Müslim,  Zikir 89"
438,J       ،       K,Ebu Musa (Allah Ondan razı olsun)'dan,"Ebu Musa (Allah Ondan razı olsun)'dan rivayet edildiğine göre Rasulullah  (sallallahu aleyhi vesellem) şöyle buyurdu: “Allah gündüz günah i şleyenin tevbesini  kabul etmek için gece  ellerini aç ık tutar. Gece günah i şleyen kimsenin tevbesini  kabul için gündüz  ellerini aç ık tutar. Bu i ş güne ş bat ıdan do ğuncaya kadar yani  kıyamete kadar böylece devam eder.” (Müslim, tevbe 31)","Müslim, tevbe 31"
